Timestamp,t [ms],P_o,P_i
19:05:43.301,1875.187,1.08,1.54
19:05:43.399,1875.287,0.39,0.39
19:05:43.513,1875.387,2.23,2.69
19:05:43.610,1875.487,1.54,1.54
19:05:43.699,1875.587,0.39,0.39
19:05:43.799,1875.687,1.54,1.54
19:05:43.899,1875.787,1.08,1.08
19:05:43.999,1875.887,1.54,3.84
19:05:44.100,1875.987,1.08,1.08
19:05:44.199,1876.087,2.23,2.23
19:05:44.299,1876.187,1.08,2.69
19:05:44.399,1876.287,1.54,1.54
19:05:44.513,1876.387,1.08,1.54
19:05:44.602,1876.487,1.08,0.39
19:05:44.699,1876.587,1.08,1.54
19:05:44.799,1876.687,1.08,1.08
19:05:44.899,1876.787,2.23,2.23
19:05:44.999,1876.887,1.08,1.54
19:05:45.101,1876.987,-0.07,2.23
19:05:45.199,1877.087,2.69,1.08
19:05:45.299,1877.187,3.38,1.08
19:05:45.399,1877.287,0.39,0.39
19:05:45.513,1877.387,1.08,2.23
19:05:45.608,1877.487,1.08,1.54
19:05:45.700,1877.587,1.08,2.23
19:05:45.799,1877.687,2.23,2.69
19:05:45.899,1877.787,1.54,1.54
19:05:45.999,1877.887,1.54,1.54
19:05:46.100,1877.987,2.69,2.23
19:05:46.199,1878.087,0.39,0.39
19:05:46.299,1878.187,1.08,1.54
19:05:46.399,1878.287,1.54,1.08
19:05:46.513,1878.387,2.23,2.23
19:05:46.608,1878.487,1.54,1.08
19:05:46.699,1878.587,0.39,1.08
19:05:46.799,1878.687,1.54,1.54
19:05:46.899,1878.787,1.54,2.23
19:05:46.999,1878.887,1.54,1.54
19:05:47.099,1878.987,1.08,0.39
19:05:47.199,1879.087,1.08,1.54
19:05:47.299,1879.187,1.54,1.54
19:05:47.400,1879.287,1.08,2.23
19:05:47.513,1879.387,1.54,1.54
19:05:47.607,1879.487,2.69,2.23
19:05:47.700,1879.587,1.54,1.54
19:05:47.799,1879.687,1.08,2.23
19:05:47.899,1879.787,1.54,1.08
19:05:47.999,1879.887,1.54,1.54
19:05:48.099,1879.987,1.08,1.08
19:05:48.199,1880.087,2.23,2.23
19:05:48.299,1880.187,1.54,2.23
19:05:48.399,1880.287,1.08,2.23
19:05:48.513,1880.387,1.08,1.08
19:05:48.606,1880.487,2.69,1.54
19:05:48.700,1880.587,1.54,0.39
19:05:48.799,1880.687,1.54,2.23
19:05:48.900,1880.787,1.08,2.23
19:05:48.999,1880.887,1.08,1.08
19:05:49.099,1880.987,1.54,2.23
19:05:49.201,1881.087,2.69,2.23
19:05:49.299,1881.187,1.54,1.54
19:05:49.401,1881.287,-0.07,1.08
19:05:49.513,1881.387,2.69,2.69
19:05:49.603,1881.487,1.54,1.08
19:05:49.700,1881.587,2.69,2.23
19:05:49.799,1881.687,1.08,1.08
19:05:49.900,1881.787,1.08,2.69
19:05:49.999,1881.887,1.54,1.08
19:05:50.099,1881.987,2.69,2.69
19:05:50.205,1882.087,0.39,1.54
19:05:50.299,1882.187,1.08,1.08
19:05:50.399,1882.287,1.08,1.54
19:05:50.516,1882.387,1.54,1.54
19:05:50.625,1882.487,1.08,1.08
19:05:50.731,1882.587,1.54,1.54
19:05:50.834,1882.687,1.08,1.08
19:05:50.927,1882.787,-1.22,1.08
19:05:50.999,1882.887,1.08,2.69
19:05:51.099,1882.987,0.39,0.39
19:05:51.201,1883.087,0.39,1.08
19:05:51.301,1883.187,1.54,1.08
19:05:51.400,1883.287,1.54,1.08
19:05:51.513,1883.387,1.54,1.08
19:05:51.613,1883.487,1.08,1.08
19:05:51.719,1883.587,2.23,2.23
19:05:51.827,1883.687,1.54,1.54
19:05:51.935,1883.787,2.23,1.54
19:05:52.031,1883.887,1.08,1.54
19:05:52.099,1883.987,1.08,1.08
19:05:52.199,1884.087,0.39,0.39
19:05:52.299,1884.187,2.69,1.54
19:05:52.399,1884.287,1.08,0.39
19:05:52.513,1884.387,0.39,1.54
19:05:52.603,1884.487,1.54,1.54
19:05:52.701,1884.587,1.08,-0.07
19:05:52.814,1884.687,2.23,1.08
19:05:52.925,1884.787,0.39,2.69
19:05:53.035,1884.887,2.23,1.54
19:05:53.099,1884.987,1.08,1.08
19:05:53.199,1885.087,1.08,2.23
19:05:53.299,1885.187,1.54,1.08
19:05:53.399,1885.287,0.39,1.08
19:05:53.513,1885.387,0.39,2.69
19:05:53.604,1885.487,0.39,0.39
19:05:53.699,1885.587,2.23,0.39
19:05:53.799,1885.687,1.54,1.08
19:05:53.899,1885.787,1.54,1.54
19:05:53.999,1885.887,2.69,0.39
19:05:54.099,1885.987,1.08,1.54
19:05:54.199,1886.087,2.23,2.23
19:05:54.299,1886.187,1.54,2.23
19:05:54.399,1886.287,2.23,0.39
19:05:54.513,1886.387,1.08,1.54
19:05:54.611,1886.487,1.54,1.54
